Date,Stadium,Team_A,Team_B
2026-06-11,Estadio Banorte,Mexiko,Südafrika
2026-06-12,Estadio Akron,Südkorea,Tschechien
2026-06-12,BMO Field,Kanada,Bosnien und Herzegowina
2026-06-13,SoFi Stadium,USA,Paraguay
2026-06-13,Levi's Stadium,Katar,Schweiz
2026-06-14,MetLife Stadium,Brasilien,Marokko
2026-06-14,Gillette Stadium,Haiti,Schottland
2026-06-14,BC Place,Australien,Türkei
2026-06-14,NRG Stadium,Deutschland,Curacao
2026-06-14,AT&T Stadium,Niederlande,Japan
2026-06-15,Lincoln Financial Field,Elfenbeinküste,Ecuador
2026-06-15,Estadio BBVA,Schweden,Tunesien
2026-06-15,Mercedes-Benz Stadium,Spanien,Kap Verde
2026-06-15,Lumen Field,Belgien,Ägypten
2026-06-16,Hard Rock Stadium,Saudi-Arabien,Uruguay
2026-06-16,SoFi Stadium,Iran,Neuseeland
2026-06-16,MetLife Stadium,Frankreich,Senegal
2026-06-17,Gillette Stadium,Irak,Norwegen
2026-06-17,GEHA Field at Arrowhead Stadium,Argentinien,Algerien
2026-06-17,Levi's Stadium,Österreich,Jordanien
2026-06-17,NRG Stadium,Portugal,Kongo
2026-06-17,AT&T Stadium,England,Kroatien
2026-06-18,BMO Field,Ghana,Panama
2026-06-18,Estadio Banorte,Usbekistan,Kolumbien
2026-06-18,Mercedes-Benz Stadium,Tschechien,Südafrika
2026-06-18,SoFi Stadium,Schweiz,Bosnien und Herzegowina
2026-06-19,BC Place,Kanada,Katar
2026-06-19,Estadio Akron,Mexiko,Südkorea
2026-06-19,Lumen Field,USA,Australien
2026-06-20,Gillette Stadium,Schottland,Marokko
2026-06-20,Lincoln Financial Field,Brasilien,Haiti
2026-06-20,Levi's Stadium,Türkei,Paraguay
2026-06-20,NRG Stadium,Niederlande,Schweden
2026-06-20,BMO Field,Deutschland,Elfenbeinküste
2026-06-21,GEHA Field at Arrowhead Stadium,Ecuador,Curacao
2026-06-21,Estadio BBVA,Tunesien,Japan
2026-06-21,Mercedes-Benz Stadium,Spanien,Saudi-Arabien
2026-06-21,SoFi Stadium,Belgien,Iran
2026-06-22,Hard Rock Stadium,Uruguay,Kap Verde
2026-06-22,BC Place,Neuseeland,Ägypten
2026-06-22,AT&T Stadium,Argentinien,Österreich
2026-06-22,Lincoln Financial Field,Frankreich,Irak
2026-06-23,MetLife Stadium,Norwegen,Senegal
2026-06-23,Levi's Stadium,Jordanien,Algerien
2026-06-23,NRG Stadium,Portugal,Usbekistan
2026-06-23,Gillette Stadium,England,Ghana
2026-06-24,BMO Field,Panama,Kroatien
2026-06-24,Estadio Akron,Kolumbien,Kongo
2026-06-24,BC Place,Schweiz,Kanada
2026-06-24,Lumen Field,Bosnien und Herzegowina,Katar
2026-06-25,Hard Rock Stadium,Schottland,Brasilien
2026-06-25,Mercedes-Benz Stadium,"Marokko",Haiti
2026-06-25,Estadio Banorte,Tschechien,Mexiko
2026-06-25,Estadio BBVA,Südafrika,Südkorea
2026-06-25,Lincoln Financial Field,Curacao,Elfenbeinküste
2026-06-25,MetLife Stadium,Ecuador,Deutschland
2026-06-26,AT&T Stadium,Japan,Schweden
2026-06-26,GEHA Field at Arrowhead Stadium,Tunesien,Niederlande
2026-06-26,SoFi Stadium,Türkei,USA
2026-06-26,Levi's Stadium,Paraguay,Australien
2026-06-26,Gillette Stadium,Norwegen,Frankreich
2026-06-26,BMO Field,Senegal,Irak
2026-06-27,NRG Stadium,Kap Verde,Saudi-Arabien
2026-06-27,Estadio Akron,Uruguay,Spanien
2026-06-27,Lumen Field,Ägypten,Iran
2026-06-27,BC Place,Neuseeland,Belgien
2026-06-27,MetLife Stadium,Panama,England
2026-06-27,Lincoln Financial Field,Kroatien,Ghana
2026-06-28,Hard Rock Stadium,Kolumbien,Portugal
2026-06-28,Mercedes-Benz Stadium,Kongo,Usbekistan
2026-06-28,GEHA Field at Arrowhead Stadium,Algerien,Österreich
2026-06-28,AT&T Stadium,Jordanien,Argentinien