Team,BaseCamp_City,Spielort,Spiel_Datum,Quartier_Lat,Quartier_Lon,Spielort_Lat,Spielort_Lon,Distanz_KM
Algerien,Kansas City,GEHA Field at Arrowhead Stadium,2026-06-17,39.10011,-94.57814,39.048855,-94.484474,10
Algerien,Kansas City,Levi's Stadium,2026-06-23,39.10011,-94.57814,37.403297,-121.969765,2390
Algerien,Kansas City,GEHA Field at Arrowhead Stadium,2026-06-28,39.10011,-94.57814,39.048855,-94.484474,10
Argentinien,Kansas City,GEHA Field at Arrowhead Stadium,2026-06-17,39.10011,-94.57814,39.048855,-94.484474,10
Argentinien,Kansas City,AT&T Stadium,2026-06-22,39.10011,-94.57814,32.748138,-97.093231,742
Argentinien,Kansas City,AT&T Stadium,2026-06-28,39.10011,-94.57814,32.748138,-97.093231,742
Australien,San Francisco,BC Place,2026-06-14,37.78794,-122.40752,49.276646,-123.112564,1279
Australien,San Francisco,Lumen Field,2026-06-19,37.78794,-122.40752,47.595135,-122.331917,1091
Australien,San Francisco,Levi's Stadium,2026-06-26,37.78794,-122.40752,37.403297,-121.969765,58
Belgien,Renton,Lumen Field,2026-06-15,47.47991,-122.20345,47.595135,-122.331917,16
Belgien,Renton,SoFi Stadium,2026-06-21,47.47991,-122.20345,33.953438,-118.339447,1538
Belgien,Renton,BC Place,2026-06-27,47.47991,-122.20345,49.276646,-123.112564,211
Bosnien und Herzegowina,Sandy,BMO Field,2026-06-12,40.57105,-111.89538,43.633087,-79.418961,2684
Bosnien und Herzegowina,Sandy,SoFi Stadium,2026-06-18,40.57105,-111.89538,33.953438,-118.339447,930
Bosnien und Herzegowina,Sandy,Lumen Field,2026-06-24,40.57105,-111.89538,47.595135,-122.331917,1140
Brasilien,New York,MetLife Stadium,2026-06-14,40.71273,-74.00602,40.813477,-74.074951,13
Brasilien,New York,Lincoln Financial Field,2026-06-20,40.71273,-74.00602,39.901325,-75.167862,134
Brasilien,New York,Hard Rock Stadium,2026-06-25,40.71273,-74.00602,25.95783,-80.239326,1739
Curacao,Boca Raton,NRG Stadium,2026-06-14,26.35869,-80.0831,29.684702,-95.410965,1548
Curacao,Boca Raton,GEHA Field at Arrowhead Stadium,2026-06-21,26.35869,-80.0831,39.048855,-94.484474,1946
Curacao,Boca Raton,Lincoln Financial Field,2026-06-25,26.35869,-80.0831,39.901325,-75.167862,1573
Deutschland,Winston-Salem,NRG Stadium,2026-06-14,36.09981,-80.24405,29.684702,-95.410965,1583
Deutschland,Winston-Salem,BMO Field,2026-06-20,36.09981,-80.24405,43.633087,-79.418961,841
Deutschland,Winston-Salem,MetLife Stadium,2026-06-25,36.09981,-80.24405,40.813477,-74.074951,750
Ecuador,Columbus,Lincoln Financial Field,2026-06-15,39.96226,-83.00071,39.901325,-75.167862,668
Ecuador,Columbus,GEHA Field at Arrowhead Stadium,2026-06-21,39.96226,-83.00071,39.048855,-94.484474,990
Ecuador,Columbus,MetLife Stadium,2026-06-25,39.96226,-83.00071,40.813477,-74.074951,762
Elfenbeinküste,Philadelphia,Lincoln Financial Field,2026-06-15,39.95272,-75.16353,39.901325,-75.167862,6
Elfenbeinküste,Philadelphia,BMO Field,2026-06-20,39.95272,-75.16353,43.633087,-79.418961,540
Elfenbeinküste,Philadelphia,Lincoln Financial Field,2026-06-25,39.95272,-75.16353,39.901325,-75.167862,6
England,Kansas City,AT&T Stadium,2026-06-17,39.10011,-94.57814,32.748138,-97.093231,742
England,Kansas City,Gillette Stadium,2026-06-23,39.10011,-94.57814,42.09079,-71.264404,1990
England,Kansas City,MetLife Stadium,2026-06-27,39.10011,-94.57814,40.813477,-74.074951,1754
Frankreich,Boston,MetLife Stadium,2026-06-16,42.35883,-71.05783,40.813477,-74.074951,304
Frankreich,Boston,Lincoln Financial Field,2026-06-22,42.35883,-71.05783,39.901325,-75.167862,439
Frankreich,Boston,Gillette Stadium,2026-06-26,42.35883,-71.05783,42.09079,-71.264404,34
Ghana,Boston,BMO Field,2026-06-18,42.35883,-71.05783,43.633087,-79.418961,694
Ghana,Boston,Gillette Stadium,2026-06-23,42.35883,-71.05783,42.09079,-71.264404,34
Ghana,Boston,Lincoln Financial Field,2026-06-27,42.35883,-71.05783,39.901325,-75.167862,439
Haiti,New York,Gillette Stadium,2026-06-14,40.71273,-74.00602,42.09079,-71.264404,275
Haiti,New York,Lincoln Financial Field,2026-06-20,40.71273,-74.00602,39.901325,-75.167862,134
Haiti,New York,Mercedes-Benz Stadium,2026-06-25,40.71273,-74.00602,33.755371,-84.401436,1201
Irak,Greenbrier County,Gillette Stadium,2026-06-17,37.80409,-80.46134,42.09079,-71.264404,917
Irak,Greenbrier County,Lincoln Financial Field,2026-06-22,37.80409,-80.46134,39.901325,-75.167862,514
Irak,Greenbrier County,BMO Field,2026-06-26,37.80409,-80.46134,43.633087,-79.418961,654
Iran,Tijuana,SoFi Stadium,2026-06-16,32.53174,-117.01953,33.953438,-118.339447,200
Iran,Tijuana,SoFi Stadium,2026-06-21,32.53174,-117.01953,33.953438,-118.339447,200
Iran,Tijuana,Lumen Field,2026-06-27,32.53174,-117.01953,47.595135,-122.331917,1734
Japan,Nashville,AT&T Stadium,2026-06-14,36.16228,-86.7743,32.748138,-97.093231,1019
Japan,Nashville,Estadio BBVA,2026-06-21,36.16228,-86.7743,25.669132,-100.244621,1732
Japan,Nashville,AT&T Stadium,2026-06-26,36.16228,-86.7743,32.748138,-97.093231,1019
Jordanien,Portland,Levi's Stadium,2026-06-17,45.52025,-122.67419,37.403297,-121.969765,904
Jordanien,Portland,Levi's Stadium,2026-06-23,45.52025,-122.67419,37.403297,-121.969765,904
Jordanien,Portland,AT&T Stadium,2026-06-28,45.52025,-122.67419,32.748138,-97.093231,2606
Kanada,Vancouver,BMO Field,2026-06-12,49.26087,-123.11395,43.633087,-79.418961,3357
Kanada,Vancouver,BC Place,2026-06-19,49.26087,-123.11395,49.276646,-123.112564,2
Kanada,Vancouver,BC Place,2026-06-24,49.26087,-123.11395,49.276646,-123.112564,2
Kap Verde,Tampa,Mercedes-Benz Stadium,2026-06-15,27.94499,-82.45831,33.755371,-84.401436,672
Kap Verde,Tampa,Hard Rock Stadium,2026-06-22,27.94499,-82.45831,25.95783,-80.239326,312
Kap Verde,Tampa,NRG Stadium,2026-06-27,27.94499,-82.45831,29.684702,-95.410965,1276
Katar,Santa Barbara,Levi's Stadium,2026-06-13,34.42213,-119.70267,37.403297,-121.969765,389
Katar,Santa Barbara,BC Place,2026-06-19,34.42213,-119.70267,49.276646,-123.112564,1675
Katar,Santa Barbara,Lumen Field,2026-06-24,34.42213,-119.70267,47.595135,-122.331917,1481
Kolumbien,Guadalajara,Estadio Banorte,2026-06-18,20.67204,-103.3384,19.302837,-99.150803,463
Kolumbien,Guadalajara,Estadio Akron,2026-06-24,20.67204,-103.3384,20.681721,-103.463135,13
Kolumbien,Guadalajara,Hard Rock Stadium,2026-06-28,20.67204,-103.3384,25.95783,-80.239326,2427
Kongo,Houston,NRG Stadium,2026-06-17,29.75894,-95.3677,29.684702,-95.410965,9
Kongo,Houston,Estadio Akron,2026-06-24,29.75894,-95.3677,20.681721,-103.463135,1296
Kongo,Houston,Mercedes-Benz Stadium,2026-06-28,29.75894,-95.3677,33.755371,-84.401436,1127
Kroatien,Alexandria,AT&T Stadium,2026-06-17,38.80511,-77.04702,32.748138,-97.093231,1925
Kroatien,Alexandria,BMO Field,2026-06-24,38.80511,-77.04702,43.633087,-79.418961,572
Kroatien,Alexandria,Lincoln Financial Field,2026-06-27,38.80511,-77.04702,39.901325,-75.167862,202
Marokko,New York,MetLife Stadium,2026-06-14,40.71273,-74.00602,40.813477,-74.074951,13
Marokko,New York,Gillette Stadium,2026-06-20,40.71273,-74.00602,42.09079,-71.264404,275
Marokko,New York,Mercedes-Benz Stadium,2026-06-25,40.71273,-74.00602,33.755371,-84.401436,1201
Mexiko,Mexico City,Estadio Banorte,2026-06-11,19.32077,-99.15147,19.302837,-99.150803,2
Mexiko,Mexico City,Estadio Akron,2026-06-19,19.32077,-99.15147,20.681721,-103.463135,475
Mexiko,Mexico City,Estadio Banorte,2026-06-25,19.32077,-99.15147,19.302837,-99.150803,2
Neuseeland,San Diego,SoFi Stadium,2026-06-16,32.71742,-117.16277,33.953438,-118.339447,176
Neuseeland,San Diego,BC Place,2026-06-22,32.71742,-117.16277,49.276646,-123.112564,1906
Neuseeland,San Diego,BC Place,2026-06-27,32.71742,-117.16277,49.276646,-123.112564,1906
Niederlande,Kansas City,AT&T Stadium,2026-06-14,39.10011,-94.57814,32.748138,-97.093231,742
Niederlande,Kansas City,NRG Stadium,2026-06-20,39.10011,-94.57814,29.684702,-95.410965,1050
Niederlande,Kansas City,GEHA Field at Arrowhead Stadium,2026-06-26,39.10011,-94.57814,39.048855,-94.484474,10
Norwegen,Greensboro,Gillette Stadium,2026-06-17,36.07264,-79.79198,42.09079,-71.264404,994
Norwegen,Greensboro,MetLife Stadium,2026-06-23,36.07264,-79.79198,40.813477,-74.074951,725
Norwegen,Greensboro,Gillette Stadium,2026-06-26,36.07264,-79.79198,42.09079,-71.264404,994
Panama,New Tecumseth,BMO Field,2026-06-18,44.15424,-79.86899,43.633087,-79.418961,68
Panama,New Tecumseth,BMO Field,2026-06-24,44.15424,-79.86899,43.633087,-79.418961,68
Panama,New Tecumseth,MetLife Stadium,2026-06-27,44.15424,-79.86899,40.813477,-74.074951,603
Paraguay,San Francisco,SoFi Stadium,2026-06-13,37.78794,-122.40752,33.953438,-118.339447,562
Paraguay,San Francisco,Levi's Stadium,2026-06-20,37.78794,-122.40752,37.403297,-121.969765,58
Paraguay,San Francisco,Levi's Stadium,2026-06-26,37.78794,-122.40752,37.403297,-121.969765,58
Portugal,Palm Beach Gardens,NRG Stadium,2026-06-17,26.82339,-80.13865,29.684702,-95.410965,1528
Portugal,Palm Beach Gardens,NRG Stadium,2026-06-23,26.82339,-80.13865,29.684702,-95.410965,1528
Portugal,Palm Beach Gardens,Hard Rock Stadium,2026-06-28,26.82339,-80.13865,25.95783,-80.239326,97
Saudi-Arabien,Austin,Hard Rock Stadium,2026-06-16,30.27113,-97.7437,25.95783,-80.239326,1780
Saudi-Arabien,Austin,Mercedes-Benz Stadium,2026-06-21,30.27113,-97.7437,33.755371,-84.401436,1315
Saudi-Arabien,Austin,NRG Stadium,2026-06-27,30.27113,-97.7437,29.684702,-95.410965,234
Schottland,Charlotte,Gillette Stadium,2026-06-14,35.22721,-80.84308,42.09079,-71.264404,1127
Schottland,Charlotte,Gillette Stadium,2026-06-20,35.22721,-80.84308,42.09079,-71.264404,1127
Schottland,Charlotte,Hard Rock Stadium,2026-06-25,35.22721,-80.84308,25.95783,-80.239326,1032
Schweden,Dallas,Estadio BBVA,2026-06-15,32.77627,-96.79686,25.669132,-100.244621,858
Schweden,Dallas,NRG Stadium,2026-06-20,32.77627,-96.79686,29.684702,-95.410965,368
Schweden,Dallas,AT&T Stadium,2026-06-26,32.77627,-96.79686,32.748138,-97.093231,28
Schweiz,San Diego,Levi's Stadium,2026-06-13,32.71742,-117.16277,37.403297,-121.969765,680
Schweiz,San Diego,SoFi Stadium,2026-06-18,32.71742,-117.16277,33.953438,-118.339447,176
Schweiz,San Diego,BC Place,2026-06-24,32.71742,-117.16277,49.276646,-123.112564,1906
Senegal,New York,MetLife Stadium,2026-06-16,40.71273,-74.00602,40.813477,-74.074951,13
Senegal,New York,MetLife Stadium,2026-06-23,40.71273,-74.00602,40.813477,-74.074951,13
Senegal,New York,BMO Field,2026-06-26,40.71273,-74.00602,43.633087,-79.418961,552
Spanien,Chattanooga,Mercedes-Benz Stadium,2026-06-15,35.04572,-85.30949,33.755371,-84.401436,166
Spanien,Chattanooga,Mercedes-Benz Stadium,2026-06-21,35.04572,-85.30949,33.755371,-84.401436,166
Spanien,Chattanooga,Estadio Akron,2026-06-27,35.04572,-85.30949,20.681721,-103.463135,2387
Südafrika,Pachuca,Estadio Banorte,2026-06-11,20.11654,-98.74135,19.302837,-99.150803,100
Südafrika,Pachuca,Mercedes-Benz Stadium,2026-06-18,20.11654,-98.74135,33.755371,-84.401436,2074
Südafrika,Pachuca,Estadio BBVA,2026-06-25,20.11654,-98.74135,25.669132,-100.244621,636
Südkorea,Guadalajara,Estadio Akron,2026-06-12,20.67204,-103.3384,20.681721,-103.463135,13
Südkorea,Guadalajara,Estadio Akron,2026-06-19,20.67204,-103.3384,20.681721,-103.463135,13
Südkorea,Guadalajara,Estadio BBVA,2026-06-25,20.67204,-103.3384,25.669132,-100.244621,639
Tschechien,Dallas,Estadio Akron,2026-06-12,32.77627,-96.79686,20.681721,-103.463135,1498
Tschechien,Dallas,Mercedes-Benz Stadium,2026-06-18,32.77627,-96.79686,33.755371,-84.401436,1157
Tschechien,Dallas,Estadio Banorte,2026-06-25,32.77627,-96.79686,19.302837,-99.150803,1516
Tunesien,Monterrey,Estadio BBVA,2026-06-15,25.6802,-100.31526,25.669132,-100.244621,7
Tunesien,Monterrey,Estadio BBVA,2026-06-21,25.6802,-100.31526,25.669132,-100.244621,7
Tunesien,Monterrey,GEHA Field at Arrowhead Stadium,2026-06-26,25.6802,-100.31526,39.048855,-94.484474,1583
Türkei,Mesa,BC Place,2026-06-14,33.4151,-111.83145,49.276646,-123.112564,1994
Türkei,Mesa,Levi's Stadium,2026-06-20,33.4151,-111.83145,37.403297,-121.969765,1019
Türkei,Mesa,SoFi Stadium,2026-06-26,33.4151,-111.83145,33.953438,-118.339447,605
USA,Irvine,SoFi Stadium,2026-06-13,33.6857,-117.82598,33.953438,-118.339447,56
USA,Irvine,Lumen Field,2026-06-19,33.6857,-117.82598,47.595135,-122.331917,1592
USA,Irvine,SoFi Stadium,2026-06-26,33.6857,-117.82598,33.953438,-118.339447,56
Uruguay,Cancun,Hard Rock Stadium,2026-06-16,21.15275,-86.84258,25.95783,-80.239326,859
Uruguay,Cancun,Hard Rock Stadium,2026-06-22,21.15275,-86.84258,25.95783,-80.239326,859
Uruguay,Cancun,Estadio Akron,2026-06-27,21.15275,-86.84258,20.681721,-103.463135,1726
Usbekistan,Atlanta,Estadio Banorte,2026-06-18,33.75447,-84.38982,19.302837,-99.150803,2172
Usbekistan,Atlanta,NRG Stadium,2026-06-23,33.75447,-84.38982,29.684702,-95.410965,1136
Usbekistan,Atlanta,Mercedes-Benz Stadium,2026-06-28,33.75447,-84.38982,33.755371,-84.401436,1
Ägypten,Spokane,Lumen Field,2026-06-15,47.65719,-117.42351,47.595135,-122.331917,368
Ägypten,Spokane,BC Place,2026-06-22,47.65719,-117.42351,49.276646,-123.112564,456
Ägypten,Spokane,Lumen Field,2026-06-27,47.65719,-117.42351,47.595135,-122.331917,368
Österreich,Goleta,Levi's Stadium,2026-06-17,34.43583,-119.82764,37.403297,-121.969765,382
Österreich,Goleta,AT&T Stadium,2026-06-22,34.43583,-119.82764,32.748138,-97.093231,2110
Österreich,Goleta,GEHA Field at Arrowhead Stadium,2026-06-28,34.43583,-119.82764,39.048855,-94.484474,2308
